device_id,visit_id,venue_id,visit_start_time,visit_end_time,visit_lat,visit_long,visit_weight,user_home_lat,user_home_long
1019,5c79e42c0c503906e8b3b5d1,4ceb1df9727f7ce6265b814d,01/03/2019 7:57,01/03/2019 9:12,41.37176514,-72.9134903,108.2853359,41.36365018,-72.94826722
1019,5c7b3395e9628006650a438c,4ceb1df9727f7ce6265b814d,02/03/2019 9:47,02/03/2019 10:17,41.37251282,-72.91437531,108.8704493,41.36289963,-72.94911137
1019,5c898582cd70f1062a24c5ef,4ceb1df9727f7ce6265b814d,12/03/2019 11:12,12/03/2019 12:22,41.37246704,-72.91442108,103.1920996,41.36347278,-72.94851316
1019,5c8a21ef2c03970605518c11,4ceb1df9727f7ce6265b814d,13/03/2019 10:17,13/03/2019 11:34,41.37248993,-72.91433716,100.0451834,41.36506111,-72.9486569
1019,5c8b12b2e144fd064c87092f,4ceb1df9727f7ce6265b814d,14/03/2019 11:24,14/03/2019 13:29,41.37239838,-72.91415405,99.67648654,41.36335549,-72.94921434
1019,5c8db5c95e29db06676df59e,4ceb1df9727f7ce6265b814d,16/03/2019 9:54,16/03/2019 10:25,41.37219238,-72.91398621,98.37393823,41.36320731,-72.94696691
1019,5c919cf025686605d573db03,4ceb1df9727f7ce6265b814d,19/03/2019 10:27,19/03/2019 11:27,41.37242126,-72.91441345,97.92189301,41.36330837,-72.94698469
1019,5c92ef580afb6805efe6e4b2,4ceb1df9727f7ce6265b814d,20/03/2019 9:44,20/03/2019 10:26,41.37224579,-72.91376495,97.81172539,41.36307093,-72.94873579
1019,5c943fc0e2dbb906ab471805,4ceb1df9727f7ce6265b814d,21/03/2019 9:57,21/03/2019 11:01,41.37243652,-72.91394806,98.15462721,41.36450418,-72.94873162
1019,5c95a158b21adf06a6ac98c2,4ceb1df9727f7ce6265b814d,22/03/2019 11:27,22/03/2019 12:33,41.37202454,-72.91365814,97.50666434,41.3620125,-72.9478332
1019,5c96e2b6ce03d6065eb51006,4ceb1df9727f7ce6265b814d,23/03/2019 10:55,23/03/2019 12:07,41.37256622,-72.91426849,96.39173967,41.36338459,-72.94877371
1019,5c9c2a6090bbbb06a0d98cdc,4ceb1df9727f7ce6265b814d,27/03/2019 9:26,27/03/2019 10:25,41.37232208,-72.91435242,93.70590651,41.36448992,-72.94922763
1019,5c9d7b708be72206b57c9378,4ceb1df9727f7ce6265b814d,28/03/2019 10:35,28/03/2019 12:13,41.37227631,-72.91429138,94.04701062,41.36420141,-72.94986996
